ranking,posicao,code_muni,municipio,valor,unidade_ou_indicador,classe_residuo_luminoso,perfil_luminoso
maior_area_acima_1,1,2304285,Eusébio,100.0,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,2,2304400,Fortaleza,99.84177215189874,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,3,2307650,Maracanaú,98.82352941176472,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,4,2310852,Pindoretama,98.65771812080536,percent_area_above_1,próximo ao padrão esperado,perfil intermediário
maior_area_acima_1,5,2301000,Aquiraz,88.91181021144921,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,6,2309706,Pacatuba,88.56088560885608,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,7,2305233,Horizonte,88.3076923076923,percent_area_above_1,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_area_acima_1,8,2307304,Juazeiro Do Norte,77.5549188156638,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,9,2306256,Itaitinga,57.83521809369952,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_area_acima_1,10,2309607,Pacajus,53.47222222222222,percent_area_above_1,menos luminoso que o esperado,contribuinte relevante no total estadual
maior_area_acima_1,11,2303709,Caucaia,49.03787725339275,percent_area_above_1,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_area_acima_1,12,2304251,Cruz,42.40412979351032,percent_area_above_1,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_area_acima_1,13,2308203,Meruoca,42.33937397034597,percent_area_above_1,menos luminoso que o esperado,perfil intermediário
maior_area_acima_1,14,2300150,Acarape,40.57142857142857,percent_area_above_1,menos luminoso que o esperado,perfil intermediário
maior_area_acima_1,15,2307700,Maranguape,38.52040816326531,percent_area_above_1,muito menos luminoso que o esperado,"denso, mas menos luminoso que o esperado"
