code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1
2303709,Caucaia,23,CE,Ceará,2,Nordeste,3.1134381092389103,0.9688339829444884,15371.0439453125,71.77775573730469,49.03787725339275
2303808,Cedro,23,CE,Ceará,2,Nordeste,0.3210921004011824,0.0,950.4326171875,37.83211517333984,4.054054054054054
2303907,Chaval,23,CE,Ceará,2,Nordeste,0.2891075269804728,0.0,276.6759033203125,11.44486141204834,5.433646812957158
2303931,Choró,23,CE,Ceará,2,Nordeste,0.1469461953332464,0.0,484.1877136230469,7.853429794311523,1.487101669195751
2303956,Chorozinho,23,CE,Ceará,2,Nordeste,0.8053902456336153,0.6426372528076172,964.0521240234376,24.776885986328125,24.1436925647452
2304004,Coreaú,23,CE,Ceará,2,Nordeste,0.3286953803885093,0.0,995.2896118164062,25.82597923278809,5.71334214002642
2304103,Crateús,23,CE,Ceará,2,Nordeste,0.1917166301724763,0.0,2311.335693359375,34.847164154052734,2.778699402786994
2304202,Crato,23,CE,Ceará,2,Nordeste,1.0815507074671624,0.0,4981.62255859375,58.52537155151367,20.10421189752497
2304236,Croatá,23,CE,Ceará,2,Nordeste,0.3358227660611886,0.0,944.3336181640624,26.889434814453125,6.827880512091038
2304251,Cruz,23,CE,Ceará,2,Nordeste,1.4776884902863814,0.8891764879226685,1997.8348388671875,29.68644905090332,42.40412979351032
2304269,Deputado Irapuan Pinheiro,23,CE,Ceará,2,Nordeste,0.1710228651871633,0.0,325.4565124511719,7.468103885650635,3.7834997372569625
2304277,Ereré,23,CE,Ceará,2,Nordeste,0.253428265837585,0.0,372.53955078125,11.668927192687988,4.217687074829932
2304285,Eusébio,23,CE,Ceará,2,Nordeste,17.015298964102058,14.05158805847168,5376.83447265625,54.28256988525391,100.0
2304301,Farias Brito,23,CE,Ceará,2,Nordeste,0.643312928181607,0.4815867245197296,1385.052734375,18.02391815185547,16.76730143985137
2304350,Forquilha,23,CE,Ceará,2,Nordeste,0.6034909562927803,0.0,1388.6326904296875,36.8735237121582,14.86310299869622
2304400,Fortaleza,23,CE,Ceará,2,Nordeste,38.12459142234548,36.45138549804688,48113.234375,137.8916778564453,99.84177215189874
2304459,Fortim,23,CE,Ceará,2,Nordeste,1.1955479823979314,0.5338444709777832,1365.3157958984375,30.98472213745117,29.401561144839548
2304509,Frecheirinha,23,CE,Ceará,2,Nordeste,0.8323855287090862,0.0,702.5333862304688,30.629234313964844,17.061611374407583
2304608,General Sampaio,23,CE,Ceará,2,Nordeste,0.3533101465157757,0.0,329.63836669921875,14.200115203857422,5.573419078242229
2304657,Graça,23,CE,Ceará,2,Nordeste,0.6304306756882441,0.0,661.9522094726562,23.515796661376957,17.047619047619047
2304707,Granja,23,CE,Ceará,2,Nordeste,0.2216582365739017,0.0,2381.49609375,50.5929069519043,3.481012658227848
2304806,Granjeiro,23,CE,Ceará,2,Nordeste,0.4684964798075585,0.0,210.35491943359372,9.754351615905762,10.022271714922049
2304905,Groaíras,23,CE,Ceará,2,Nordeste,0.6914830550052332,0.5960425734519958,433.5598754882813,22.90858268737793,15.470494417862838
2304954,Guaiúba,23,CE,Ceará,2,Nordeste,0.8918146532635356,0.8144612908363342,920.3527221679688,12.31511116027832,34.593023255813954
2305001,Guaraciaba Do Norte,23,CE,Ceará,2,Nordeste,0.5249623624603489,0.0,1323.955078125,25.971555709838867,13.203806502775574
2305100,Guaramiranga,23,CE,Ceará,2,Nordeste,0.7122228041939114,0.7825364470481873,262.0979919433594,5.094676494598389,27.717391304347824
2305209,Hidrolândia,23,CE,Ceará,2,Nordeste,0.1727529609792223,0.0,646.9598388671875,19.310693740844727,2.456608811748999
2305233,Horizonte,23,CE,Ceará,2,Nordeste,4.461603816105769,2.174487590789795,2900.04248046875,37.253028869628906,88.3076923076923
2305266,Ibaretama,23,CE,Ceará,2,Nordeste,0.1621013422516521,0.0,576.432373046875,5.573617458343506,2.7277840269966256
