country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Northern Mariana Islands,True,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Norway,False,0.0,100.0,99.7,95.5,69.1,28.7,1.4,98.6,66.1,22.1,1.8,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Oman,False,0.1,99.9,98.9,96.1,80.5,34.1,15.1,84.9,54.3,23.2,3.2,0.5,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Pakistan,False,3.4,96.6,89.8,58.6,19.7,6.6,45.9,54.1,32.2,9.4,0.5,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Panama,False,6.3,93.7,86.0,73.0,54.1,17.2,42.5,57.5,27.0,7.4,1.2,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Papua New Guinea,False,68.3,31.7,18.8,10.9,5.3,0.1,89.4,10.6,2.5,0.6,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Paraguay,False,1.6,98.4,86.4,70.9,55.0,34.7,57.2,42.8,18.2,3.9,0.6,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Peru,False,8.7,91.3,73.2,63.4,48.3,16.4,62.4,37.6,8.7,1.7,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Philippines,False,8.7,91.3,67.2,47.6,26.5,7.2,35.6,64.4,20.9,6.1,0.7,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Poland,False,0.0,100.0,100.0,93.9,50.1,13.9,0.0,100.0,99.7,67.5,4.5,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Portugal,False,0.0,100.0,100.0,98.3,76.7,35.4,0.0,100.0,100.0,71.2,12.8,1.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Puerto Rico,True,0.0,100.0,100.0,100.0,71.0,25.5,0.0,100.0,100.0,99.9,28.6,3.4,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Qatar,False,0.0,100.0,100.0,100.0,99.8,96.7,0.0,100.0,100.0,97.0,54.6,16.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
