code_muni,name_muni,name_state,abbrev_state,pop_2022_ibge,area_km2_ibge,densidade_2022_ibge_hab_km2,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1,share_radiancia_total_ce_pct,radiancia_total_per_capita_2022,hotspot_index_max_over_mean,log1p_densidade_2022,log1p_radiancia_media,radiancia_media_esperada_log,radiancia_media_esperada,residuo_luminoso_log,residuo_luminoso_std,residuo_luminoso_percentil,classe_residuo_luminoso,perfil_luminoso,rank_radiancia_total,rank_radiancia_media,rank_residuo_luminoso,rank_radiancia_per_capita,rank_area_acima_1,rank_hotspot_index
2304459,Fortim,Ceará,CE,17294,285,60.68,1.1955479823979314,0.5338444709777832,1365.3157958984375,30.98472213745117,29.401561144839548,0.3979341299535427,0.0789473687925545,25.916753294491635,4.1219597292550745,0.7864316656648704,0.6343026095300184,0.8857066089738669,0.15212905613485206,0.7202033586389797,85.86956521739131,muito mais luminoso que o esperado,brilho excedente espalhado,60,22,27,9,25,147
2306207,Itaiçaba,Ceará,CE,7536,214,35.28,0.7200883783391405,0.0,619.99609375,18.91316032409668,21.13821138211382,0.18070369278826837,0.08227124386279193,26.26505421661462,3.591266625246936,0.5423756722606274,0.3930411047725768,0.48147928394677,0.14933456748805063,0.7069738010499228,85.32608695652173,muito mais luminoso que o esperado,brilho excedente espalhado,133,53,28,8,42,145
2303600,Catarina,Ceará,CE,10243,488,20.98,0.3668491529381793,0.0,725.6276245117188,26.38824844360352,7.684529828109201,0.21149099592766035,0.07084131841371852,71.93215020485071,3.090132948975475,0.3125082026684087,0.16521778483731864,0.17965000062136102,0.14729041783109004,0.6972964686197608,84.78260869565217,mais luminoso que o esperado,perfil intermediário,116,104,29,17,101,73
2306801,Jaguaribara,Ceará,CE,10356,623,16.62,0.2348965023007282,0.0,588.650634765625,25.20484733581543,3.9505187549880287,0.1715677639530397,0.05684150586767333,107.30192651504359,2.8690346205080335,0.21098716276312707,0.0647029768955294,0.06684210056698424,0.14628418586759767,0.6925328050692902,84.23913043478261,mais luminoso que o esperado,perfil intermediário,136,144,30,39,142,39
2303659,Catunda,Ceará,CE,10444,784,13.32,0.1231564450655815,0.0,389.6669921875,12.950065612792969,1.706700379266751,0.11357210981779443,0.037310129470270015,105.15134226832906,2.6616571615324998,0.11614297599621431,-0.029574106087717045,-0.029141071581620763,0.14571708208393136,0.689848044773852,83.69565217391305,mais luminoso que o esperado,perfil intermediário,164,173,31,132,171,41
2305233,Horizonte,Ceará,CE,74754,161,465.59,4.461603816105769,2.174487590789795,2900.04248046875,37.253028869628906,88.3076923076923,0.8452446567749892,0.03879447896391832,8.349694503756913,6.145450927724578,1.697742485837408,1.554213811916219,3.731365319533102,0.14352867392118895,0.6794877694331377,83.15217391304348,mais luminoso que o esperado,contribuinte relevante no total estadual,26,7,32,114,7,178
2313906,Uruoca,Ceará,CE,13746,698,19.7,0.3186921143446953,0.0,895.5248413085938,47.76503753662109,5.551601423487544,0.26100913770166945,0.06514803152252246,149.87831589419378,3.0301337002713233,0.27664042294307895,0.13794117446241239,0.1479080219815099,0.13869924848066656,0.6566244945865654,82.6086956521739,mais luminoso que o esperado,perfil intermediário,97,118,33,24,120,17
2302206,Beberibe,Ceará,CE,53114,1597,33.26,0.6485108255119454,0.0,4180.30078125,34.23505401611328,17.856034750232702,1.2183879797832327,0.0787043111279512,52.790258260218394,3.5339784928959737,0.4998723503943139,0.36699701090486236,0.4433936046679243,0.13287533948945152,0.6290531750605783,82.06521739130434,mais luminoso que o esperado,contribuinte relevante no total estadual,15,63,34,10,53,94
2304277,Ereré,Ceará,CE,6474,363,17.84,0.253428265837585,0.0,372.53955078125,11.668927192687988,4.217687074829932,0.10858015593078807,0.05754395285468798,46.04430018126696,2.935982269148217,0.22588240988460978,0.09513844012072226,0.09981110256909392,0.13074396976388752,0.6189629288324552,81.52173913043478,mais luminoso que o esperado,perfil intermediário,165,137,35,34,138,105
2301109,Aracati,Ceará,CE,75112,1227,61.21,1.1434063414111355,0.5425598621368408,5667.865234375,71.30192565917969,28.00080693968125,1.651952630673823,0.07545885124048088,62.35921825378645,4.130515758526928,0.7623963118680738,0.6381923161821035,0.893055738227232,0.12420399568597029,0.5880016423037814,80.97826086956522,mais luminoso que o esperado,contribuinte relevante no total estadual,9,25,36,13,28,80
